Affiliation,lng,lat,Aff_short
UBC Forestry,-123.248826,49.260486,UBC Forestry
UBC Forestry,-123.248826,49.260486,UBC Forestry
UBC Forestry,-123.248826,49.260486,UBC Forestry
SFU Alumni,-122.920179,49.279089,SFU
SFU,-122.920179,49.279089,SFU
UBC Forestry,-123.248826,49.260486,UBC Forestry
UBC Geography,-123.256193,49.265893,UBC Geography
UBC Forestry,-123.248826,49.260486,UBC Forestry
UBC Forestry,-123.248826,49.260486,UBC Forestry
SFU Geography,-122.916658,49.280036,SFU Geography
SFU Geography,-122.916658,49.280036,SFU Geography
Capilano University,-123.019418,49.318036,Capilano University
UBC,-123.248826,49.260486,UBC
UBC,-123.248826,49.260486,UBC
,,,
Senior GIC Assistant,-123.256193,49.265893,UBC Geography
Grad School (UBC),-123.247497,49.259312,UBC
UBC,-123.247497,49.259312,UBC
UBC / Blue Ventures,-123.791026,49.132362,Private/Consulting
UBC,,,UBC
,,,
Hatfield,-123.096841,49.314913,Private/Consulting
UBC MGEM,-123.248826,49.260486,UBC Forestry
MGEM,-123.248826,49.260486,UBC Forestry
Ubc,-123.248826,49.260486,UBC
MGEM UBC,-123.248826,49.260486,UBC Forestry
MGEM UBC,-123.248826,49.260486,UBC Forestry
MGEM UBC,-123.248826,49.260486,UBC Forestry
MGEM UBC,-123.248826,49.260486,UBC Forestry
UBC,-123.248826,49.260486,UBC
UBC,-123.248826,49.260486,UBC
Simon Fraser University,-122.920179,49.279089,SFU
UBC,-123.248826,49.260486,UBC
University of British Columbia,-123.248826,49.260486,UBC
University of British Columbia,-123.248826,49.260486,UBC
,,,
Ubc,-123.248826,49.260486,UBC
UBC,-123.248826,49.260486,UBC
Ostrom Climate Solutions,-123.109438,49.28421,Private/Consulting
University of British Columbia,-123.248826,49.260486,UBC
UBC Forestry,-123.248826,49.260486,UBC Forestry
UBC Okanagan,-119.394763,49.939385,UBC
Still Moon Arts Society,-123.024172,49.234348,Public Sector
GIS Technician,,,Private/Consulting
BC Public Service,-123.123278,49.281872,Public Sector
ESSA Technologies Ltd.,-123.139056,49.261885,Private/Consulting
UBC IRSS,-123.248826,49.260486,UBC
UBC,-123.248826,49.260486,UBC
ABMI,-113.502488,53.540588,Public Sector
,,,
MGEM,-123.248826,49.260486,UBC Forestry
veritree,-123.078006,49.277372,Private/Consulting
"Frontera Forest Solutions, Inc.",,,Private/Consulting
"Faculty of Forestry, University of British Columbia",-123.248826,49.260486,UBC Forestry
UBC Undergrad studying Resource Conservation and Geomatics,-123.248826,49.260486,UBC
"National Institute of Forestry, Agriculture and Livestock Research",-99.16766,19.393621,Public Sector
UBC - forestry,-123.248826,49.260486,UBC Forestry
"Forestry, BC Government",-125.247868,50.000819,Public Sector
University of British Columbia,-123.248826,49.260486,UBC
,,,
UBC MGEM,-123.248826,49.260486,UBC Forestry
